entry_date,exit_date,ticker,side,entry_price,exit_price,sl,tp,shares,pnl,win_prob,outcome
2021-08-09,2021-08-09,ADANIENT.NS,BUY,1543.8585034213777,1520.7006258700571,1520.7006258700571,1590.174258524019,3,-69.47363265396166,0.720096230506897,SL
2021-08-10,2021-08-10,ADANIENT.NS,BUY,1485.266286618562,1462.9872923192836,1462.9872923192836,1529.8242752171188,3,-66.83698289783501,0.6116327047348022,SL
2021-08-18,2021-08-18,ADANIENT.NS,SELL,1439.251025956124,1460.839791345466,1460.839791345466,1396.0734951774402,3,-64.76629616802575,0.6026079654693604,SL
2021-08-23,2021-08-23,ADANIENT.NS,BUY,1412.450419363026,1391.2636630725806,1391.2636630725806,1454.8239319439167,3,-63.56026887133612,0.8358340859413147,SL
2021-08-23,2021-08-27,AXISBANK.NS,SELL,746.3835522395782,749.2715454101562,757.5793055231719,723.9920456723909,6,-17.32795902346834,0.6257238388061523,EXIT
2021-09-15,2021-09-15,ADANIENT.NS,BUY,1521.200028714851,1498.3820282841282,1498.3820282841282,1566.8360295762966,3,-68.45400129216841,0.660760223865509,SL
2021-09-16,2021-09-16,ADANIENT.NS,BUY,1520.201904076054,1497.3988755149132,1497.3988755149132,1565.8079611983355,3,-68.40908568342229,0.7616024017333984,SL
2021-09-17,2021-09-17,SBIN.NS,BUY,435.818284861057,429.28101058814116,429.28101058814116,448.8928334068887,11,-71.91001700207437,0.7431467175483704,SL
2021-09-20,2021-09-20,ADANIENT.NS,BUY,1462.208858548452,1440.2757256702253,1440.2757256702253,1506.0751243049056,3,-65.79939863468053,0.7350624799728394,SL
2021-10-25,2021-10-25,ADANIENT.NS,SELL,1542.1614193904898,1495.896576808775,1565.293840681347,1495.896576808775,3,138.79452774514402,0.7235342264175415,TP
2021-10-25,2021-10-25,INFY.NS,BUY,1564.6657601412892,1541.19577373917,1541.19577373917,1611.605732945528,3,-70.40995920635783,0.6230085492134094,SL
2021-10-26,2021-10-27,ADANIENT.NS,BUY,1529.1854666231366,1575.0610306218307,1506.2476846237896,1575.0610306218307,3,137.6266919960824,0.8338422179222107,TP
2021-10-26,2021-10-29,INFY.NS,BUY,1567.5324207305746,1544.019434419616,1544.019434419616,1614.5583933524917,3,-70.53895893287608,0.6633297801017761,SL
2021-10-27,2021-10-28,ADANIENT.NS,BUY,1545.1560282262117,1521.9786878028185,1521.9786878028185,1591.510709072998,3,-69.53202127017948,0.8342973589897156,SL
2021-10-27,2021-10-29,INFY.NS,BUY,1566.6616437147036,1543.161719058983,1543.161719058983,1613.6614930261446,3,-70.4997739671619,0.6619190573692322,SL
2021-10-28,2021-10-28,ADANIENT.NS,BUY,1547.1524288984424,1523.9451424649658,1523.9451424649658,1593.5670017653956,3,-69.62185930042983,0.7328708171844482,SL
2021-11-16,2021-11-16,ADANIENT.NS,BUY,1756.2175105121485,1729.8742478544661,1729.8742478544661,1808.9040358275129,2,-52.686525315364634,0.6877797245979309,SL
2021-11-24,2021-11-24,INFY.NS,BUY,1594.98643263331,1571.0616361438103,1571.0616361438103,1642.8360256123092,3,-71.77438946849884,0.7457064986228943,SL
2021-12-01,2021-12-01,ADANIENT.NS,BUY,1690.8878742435757,1665.524556129922,1665.524556129922,1741.614510470883,2,-50.726636227307154,0.6026778221130371,SL
2021-12-03,2021-12-03,RELIANCE.NS,BUY,1136.801959680644,1119.7499302854342,1119.7499302854342,1170.9060184710631,4,-68.20811758083892,0.7549121975898743,SL
2021-12-07,2021-12-08,ADANIENT.NS,BUY,1655.8523230250069,1705.5278927157572,1631.0145381796317,1705.5278927157572,2,99.35113938150062,0.7393466234207153,TP
2021-12-13,2021-12-13,RELIANCE.NS,BUY,1125.4722255996962,1108.5901422157008,1108.5901422157008,1159.2363923676871,4,-67.5283335359818,0.631351888179779,SL
2021-12-14,2021-12-17,RELIANCE.NS,BUY,1082.928707386146,1066.6847767753538,1066.6847767753538,1115.4165686077304,4,-64.9757224431687,0.6612929701805115,SL
2021-12-16,2021-12-17,ADANIENT.NS,SELL,1704.163450567297,1653.038547050278,1729.7259023258066,1653.038547050278,2,102.24980703403799,0.8327281475067139,TP
2021-12-16,2021-12-17,SBIN.NS,SELL,454.7689339050586,441.12586588790685,461.5904679136345,441.12586588790685,10,136.43068017151734,0.7215265035629272,TP
2021-12-17,2021-12-17,ADANIENT.NS,BUY,1695.828681803078,1670.391251576032,1670.391251576032,1746.7035422571705,2,-50.87486045409241,0.8696038126945496,SL
2021-12-17,2021-12-17,AXISBANK.NS,BUY,704.5582205288981,693.9898472209646,693.9898472209646,725.6949671447651,6,-63.410239847600906,0.6966703534126282,SL
2021-12-17,2021-12-17,RELIANCE.NS,BUY,1091.1416846044397,1074.7745593353732,1074.7745593353732,1123.8759351425729,4,-65.46850107626597,0.7840165495872498,SL
2021-12-17,2021-12-17,SBIN.NS,BUY,447.0396555810828,440.33406074736655,440.33406074736655,460.4508452485153,10,-67.05594833716248,0.7641029953956604,SL
2021-12-20,2021-12-20,ADANIENT.NS,BUY,1626.0072376154235,1601.6171290511923,1601.6171290511923,1674.7874547438862,2,-48.78021712846248,0.8677653670310974,SL
2021-12-20,2021-12-20,AXISBANK.NS,BUY,678.1186757320387,667.9468955960581,667.9468955960581,698.4622360039998,7,-71.20246095186428,0.6132563352584839,SL
2021-12-24,2021-12-27,ADANIENT.NS,SELL,1676.913563261421,1702.0672667103422,1702.0672667103422,1626.6061563635783,2,-50.30740689784261,0.7005953192710876,SL
2022-01-20,2022-01-20,INFY.NS,BUY,1690.3190361284492,1664.9642505865224,1664.9642505865224,1741.0286072123026,2,-50.70957108385346,0.644507646560669,SL
2022-01-21,2022-01-21,ADANIENT.NS,BUY,1857.431382673178,1829.5699119330802,1829.5699119330802,1913.1543241533732,2,-55.72294148019546,0.6637809872627258,SL
2022-01-24,2022-01-24,ADANIENT.NS,BUY,1818.652541001836,1791.3727528868085,1791.3727528868085,1873.212117231891,2,-54.55957623005497,0.6862307190895081,SL
2022-01-24,2022-01-24,INFY.NS,BUY,1617.9029588836445,1593.6344145003898,1593.6344145003898,1666.440047650154,2,-48.53708876650944,0.6150542497634888,SL
2022-01-25,2022-01-25,ADANIENT.NS,SELL,1664.9356283449029,1689.9096627700765,1689.9096627700765,1614.9875594945559,2,-49.94806885034723,0.6124791502952576,SL
2022-01-27,2022-01-27,ADANIENT.NS,BUY,1714.843675136001,1689.1210200089608,1689.1210200089608,1766.288985390081,2,-51.44531025408014,0.6116377115249634,SL
2022-02-04,2022-02-08,ADANIENT.NS,SELL,1754.7701984231237,1702.12709247043,1781.0917513994705,1702.12709247043,2,105.28621190538752,0.6757985353469849,TP
2022-02-07,2022-02-08,ADANIENT.NS,SELL,1761.7574892651012,1708.904764587148,1788.1838516040777,1708.904764587148,2,105.70544935590624,0.6183335781097412,TP
2022-02-08,2022-02-08,ADANIENT.NS,SELL,1736.204570378622,1684.1184332672633,1762.2476389343014,1684.1184332672633,2,104.17227422271753,0.6231521964073181,TP
2022-02-14,2022-02-14,ADANIENT.NS,BUY,1733.110247858403,1707.1135941405269,1707.1135941405269,1785.103555294155,2,-51.993307435752286,0.8891950845718384,SL
2022-02-18,2022-02-21,ADANIENT.NS,BUY,1735.805220486552,1709.7681421792536,1709.7681421792536,1787.8793771011485,2,-52.07415661459663,0.721510648727417,SL
